id|name|type|population2025|population2035|lat|lng|departmentId|departmentName
13780|Talaigua Nuevo|municipio|14092|14661|9.269516705|-74.58695233|13|Bolívar
13810|Tiquisio|municipio|19763|20473|8.492345176|-74.29676139|13|Bolívar
13836|Turbaco|municipio|116223|119992|10.35310756|-75.37971541|13|Bolívar
13838|Turbana|municipio|18037|18683|10.25276929|-75.43270299|13|Bolívar
13873|Villanueva|municipio|26130|27005|10.4449132|-75.26736275|13|Bolívar
13894|Zambrano|municipio|12970|13449|9.745147021|-74.88067037|13|Bolívar
15001|Tunja|municipio|188945|201779|5.518472615|-73.37801856|15|Boyacá
15022|Almeida|municipio|2076|2216|4.954825081|-73.38813425|15|Boyacá
15047|Aquitania|municipio|16648|17901|5.437416373|-72.87149471|15|Boyacá
15051|Arcabuco|municipio|6392|6879|5.73526424|-73.42793109|15|Boyacá
15087|Belén|municipio|8070|8687|6.005059265|-72.89369887|15|Boyacá
15090|Berbeo|municipio|1703|1818|5.230936356|-73.12731944|15|Boyacá
15092|Betéitiva|municipio|2083|2230|5.920858933|-72.84857876|15|Boyacá
15097|Boavita|municipio|5487|5883|6.337515626|-72.62021239|15|Boyacá
15104|Boyacá|municipio|5504|5904|5.439856216|-73.38136994|15|Boyacá
15106|Briceño|municipio|2331|2523|5.673229265|-73.92660705|15|Boyacá
15109|Buenavista|municipio|4732|5074|5.489399419|-73.95066255|15|Boyacá
15114|Busbanzá|municipio|1219|1287|5.843483731|-72.87574623|15|Boyacá
15131|Caldas|municipio|3361|3625|5.575990669|-73.88057508|15|Boyacá
15135|Campohermoso|municipio|3320|3578|5.006862536|-73.1446703|15|Boyacá
15162|Cerinza|municipio|3991|4268|5.962013698|-72.96447288|15|Boyacá
15172|Chinavita|municipio|3436|3674|5.202971639|-73.34048074|15|Boyacá
15176|Chiquinquirá|municipio|61289|65570|5.622488024|-73.80424531|15|Boyacá
15180|Chiscas|municipio|4234|4542|6.68911806|-72.41795675|15|Boyacá
15183|Chita|municipio|8475|9100|6.091468485|-72.43903174|15|Boyacá
15185|Chitaraque|municipio|6306|6762|5.984394625|-73.42582375|15|Boyacá
15187|Chivatá|municipio|3012|3252|5.556830465|-73.26061715|15|Boyacá
15189|Ciénega|municipio|5007|5357|5.393059633|-73.28205772|15|Boyacá
15204|Cómbita|municipio|14183|15262|5.667822366|-73.32137049|15|Boyacá
15212|Coper|municipio|3881|4164|5.452461072|-74.05996578|15|Boyacá
15215|Corrales|municipio|2698|2899|5.82454582|-72.84544845|15|Boyacá
15218|Covarachía|municipio|2967|3184|6.519521476|-72.74020421|15|Boyacá
15223|Cubará|municipio|11392|12213|6.886954878|-72.18156285|15|Boyacá
15224|Cucaita|municipio|4047|4365|5.527104109|-73.44598646|15|Boyacá
15226|Cuítiva|municipio|1944|2072|5.58775449|-72.93953686|15|Boyacá
15232|Chíquiza|municipio|5061|5464|5.643075648|-73.44562391|15|Boyacá
15236|Chivor|municipio|2698|2884|4.871181606|-73.36142379|15|Boyacá
15238|Duitama|municipio|134091|143367|5.890602515|-73.06709484|15|Boyacá
15244|El Cocuy|municipio|4477|4791|6.353363177|-72.41923752|15|Boyacá
15248|El Espino|municipio|3269|3525|6.508240556|-72.48049625|15|Boyacá
15272|Firavitoba|municipio|7261|7799|5.67367659|-73.01983352|15|Boyacá
15276|Floresta|municipio|3493|3728|5.85899211|-72.92499827|15|Boyacá
15293|Gachantivá|municipio|3009|3214|5.744105975|-73.5426552|15|Boyacá
15296|Gámeza|municipio|5203|5604|5.799050256|-72.72964765|15|Boyacá
15299|Garagoa|municipio|19582|21048|5.089466651|-73.31430272|15|Boyacá
15317|Guacamayas|municipio|1983|2119|6.445438546|-72.51635332|15|Boyacá
15322|Guateque|municipio|11631|12479|5.01450831|-73.48812352|15|Boyacá
15325|Guayatá|municipio|3579|3829|4.931424341|-73.49663372|15|Boyacá
15332|Güicán de La Sierra|municipio|4570|4912|6.566991765|-72.25599334|15|Boyacá
15362|Iza|municipio|2125|2265|5.617366016|-72.96986504|15|Boyacá
15367|Jenesano|municipio|7829|8417|5.38916272|-73.40087021|15|Boyacá
15368|Jericó|municipio|4208|4517|6.155633662|-72.58523093|15|Boyacá
15377|Labranzagrande|municipio|3755|4030|5.541378132|-72.5903846|15|Boyacá
15380|La Capilla|municipio|2882|3094|5.113167102|-73.45923708|15|Boyacá
15401|La Victoria|municipio|1202|1290|5.507008121|-74.24162727|15|Boyacá
15403|La Uvita|municipio|3246|3496|6.265126191|-72.55551085|15|Boyacá
15407|Villa de Leyva|municipio|17787|18985|5.665762424|-73.514948|15|Boyacá
15425|Macanal|municipio|5396|5786|4.980176495|-73.29413695|15|Boyacá
15442|Maripí|municipio|6147|6597|5.569810633|-74.02003127|15|Boyacá
15455|Miraflores|municipio|9575|10309|5.150953297|-73.17896722|15|Boyacá
15464|Mongua|municipio|4980|5336|5.710937981|-72.63402875|15|Boyacá
15466|Monguí|municipio|4527|4869|5.697352228|-72.83298664|15|Boyacá
15469|Moniquirá|municipio|24596|26428|5.863370485|-73.55852538|15|Boyacá
15476|Motavita|municipio|6072|6519|5.606192449|-73.37734267|15|Boyacá
15480|Muzo|municipio|9186|9865|5.539429272|-74.11177139|15|Boyacá
15491|Nobsa|municipio|17500|18784|5.778759851|-72.93268324|15|Boyacá
15494|Nuevo Colón|municipio|5538|5948|5.354701485|-73.44873424|15|Boyacá
15500|Oicatá|municipio|3085|3325|5.610787844|-73.27991905|15|Boyacá
15507|Otanche|municipio|8699|9354|5.753787787|-74.19719423|15|Boyacá
15511|Pachavita|municipio|2637|2817|5.148323877|-73.39951219|15|Boyacá
15514|Páez|municipio|3499|3767|5.095211035|-73.00435863|15|Boyacá
15516|Paipa|municipio|36778|39434|5.762027786|-73.13777442|15|Boyacá
15518|Pajarito|municipio|2560|2756|5.382328949|-72.69672674|15|Boyacá
15522|Panqueba|municipio|1845|1953|6.443299758|-72.46182431|15|Boyacá
15531|Pauna|municipio|7689|8261|5.688801559|-74.00504122|15|Boyacá
15533|Paya|municipio|2812|3042|5.621242742|-72.3692906|15|Boyacá
15537|Paz de Río|municipio|4560|4876|6.030008561|-72.75988018|15|Boyacá
15542|Pesca|municipio|7256|7778|5.498483324|-73.07837993|15|Boyacá
15550|Pisba|municipio|1899|2037|5.768131812|-72.43993232|15|Boyacá
