id|type|name|placeId|parentId|parentName|lat|lng
05190|municipio|Cisneros|ChIJhR2PITlzRI4R2u59mOM3iFc|05|Antioquia|6.538376|-75.08706699999999
05101|municipio|Ciudad Bolívar|ChIJh8V6IadBRo4RfuLF3_72Cx8|05|Antioquia|5.852475999999999|-76.0218469
1100119|localidad|Ciudad Bolívar|ChIJb2A-s-6hP44RCtQ56Pk_xgo|11001|Bogotá|4.579524|-74.15742890000001
13222|municipio|Clemencia|ChIJc1uzbJMV9o4RTto1CG1gcFw|13|Bolívar|10.568962|-75.3257409
05197|municipio|Cocorná|ChIJzccxthalRo4RvtIFbXdwB-E|05|Antioquia|6.057265|-75.185598
73200|municipio|Coello|ChIJsWmfcLUrP44RPgyiHFEbCnI|73|Tolima|4.286261|-74.897875
25200|municipio|Cogua|ChIJu5ABc1RuQI4RJvGDF8zA9jY|25|Cundinamarca|5.061241|-73.97640799999999
41206|municipio|Colombia|ChIJrR-8QuANPI4RxPCBr3rOaxM|41|Huila|3.3762396|-74.8023651
52203|municipio|Colón|ChIJezbV5s0aL44RMSA3vwbCWk0|52|Nariño|1.6429021|-77.04493269999999
86219|municipio|Colón|ChIJdfloo84yL44R3dKsrAsTJ1g|86|Putumayo|1.2276994|-76.9527836
70204|municipio|Colosó|ChIJmxDcV7AYWY4Rd8lHLfHD4Io|70|Sucre|9.4940613|-75.3530973
15204|municipio|Cómbita|ChIJ-fUTJGB6ao4ReLibyCQB-yY|15|Boyacá|5.634202|-73.323263
05206|municipio|Concepción|ChIJs_HP-C8XRI4ReuoFs9WvPYo|05|Antioquia|6.3946117|-75.2575535
68207|municipio|Concepción|ChIJ02ifQRoAaY4RzGOzPin6ZWE|68|Santander|6.769822|-72.69449399999999
05209|municipio|Concordia|ChIJTQBpi_tvRo4RNKGpYR4o7oQ|05|Antioquia|6.046265200000001|-75.9067158
47205|municipio|Concordia|ChIJKwFznotXX44RwJrcOOrtJc8|47|Magdalena|10.2582596|-74.83279279999999
27205|municipio|Condoto|ChIJhQI3YQMQSI4RIArJ8ZkxpIw|27|Chocó|5.089545999999999|-76.652079
68209|municipio|Confines|ChIJTw54ehrvaY4RXLBjkHZ4JR4|68|Santander|6.356618000000001|-73.241843
52207|municipio|Consacá|ChIJPSmbt5HMLo4RFVbXm9jIeU0|52|Nariño|1.207624|-77.46565799999999
52210|municipio|Contadero|ChIJ86LQeZE_KY4RsMu9vRvgK6A|52|Nariño|0.9088636999999999|-77.5480018
68211|municipio|Contratación|ChIJLwIRSvIHQo4RgKlye8_sU2o|68|Santander|6.290943|-73.4742289
54206|municipio|Convención|ChIJEayuyZ1mZ44R7tM6HCYxDrk|54|Norte de Santander|8.470146|-73.337007
05212|municipio|Copacabana|ChIJL8M3l2slRI4RSs8bNKsMSNw|05|Antioquia|6.357621|-75.505078
15212|municipio|Coper|ChIJKfRZ04hSQI4R6G-2CL6TCEc|15|Boyacá|5.4501027|-74.05351259999999
13212|municipio|Córdoba|ChIJQ65O5cfVXo4R33W7HxMrpqM|13|Bolívar|9.5240607|-74.92087719999999
52215|municipio|Córdoba|ChIJa24l7K8VKY4RmHouVSxNWkY|52|Nariño|0.7908476|-77.4013403
63212|municipio|Córdoba|ChIJdeu9j1z4OI4RELRohZ6Cdhk|63|Quindío|4.392094999999999|-75.687434
19212|municipio|Corinto|ChIJMYoCIftvOo4RyBGFu15Ga7A|19|Cauca|3.1756423|-76.2591932
68217|municipio|Coromoro|ChIJk_bc_X-SaY4RqopAkZnraHY|68|Santander|6.295692499999999|-73.0404384
70215|municipio|Corozal|ChIJWfYpoYc-WY4RGoQRliW9qL4|70|Sucre|9.323419999999999|-75.29490919999999
15215|municipio|Corrales|ChIJY4_XcU42ao4RKN66lkiYf1Y|15|Boyacá|5.828673999999999|-72.844945
25214|municipio|Cota|ChIJ3R9TBOiGP44RSpH9AR2fNTg|25|Cundinamarca|4.8098502|-74.1018383
23300|municipio|Cotorra|ChIJp9IckpyDWY4RomMrYH9NMyM|23|Córdoba|9.039263|-75.790511
15218|municipio|Covarachía|ChIJ53dDxO2gaY4RMEYl63byEPE|15|Boyacá|6.500365|-72.739244
70221|municipio|Coveñas|ChIJ8ywuIxYIWY4RtFbh5CKzDUE|70|Sucre|9.403438999999999|-75.68008669999999
73217|municipio|Coyaima|ChIJV3wbKRlFOY4RIByFkZeq1Pw|73|Tolima|3.7986306|-75.19468379999999
